region,city,lat,lon
Брестская,г. Барановичи,53.1333,26.0333
Могилевская,г. Бобруйск,53.15,29.2333
Минская,г. Жодино,54.0983,28.3325
Витебская,г. Новополоцк,55.5333,28.65
Брестская,г. Пинск,52.1213,26.0727
г. Минск,г. Минск,53.9,27.5666
Гомельская,г. Гомель,52.4416,30.9833
Гродненская,г. Гродно,53.6833,23.8333
Витебская,г. Витебск,55.1925,30.1944
Брестская,г. Брест,52.1,23.7
Могилевская,г. Могилев,53.9138,30.3363
