region,subject,Дебиторская задолженность,Кредиторская задолженность,Просроченная дебиторская задолженность,Просроченная кредиторская задолженность
Гомельская область,Ельский,15528,49459,3631,12160
Брестская область,Жабинковский,99535,264083,26287,45211
Гомельская область,Житковичский,103267,151547,24886,37178
Гомельская область,Жлобинский,472249,1875028,88037,528947
Гродненская область,Зельвенский,662692.5,3109189.5,205063.7,310138.4
Брестская область,Ивановский,83978,100432,26562,39455
Брестская область,Ивацевичский,87426,170916,20084,38442
Гродненская область,Ивьевский,802216.4,6206023.1,135507.1,1200335.3
Гомельская область,Калинковичский,258955,307087,111295,102343
Брестская область,Каменецкий,174305,240100,10915,39373
Могилевская область,Кировский,10.6,85,3,19.8
Минская область,Клецкий,54,152.2,27.8,62.7
Могилевская область,Климовичский,122.7,155.5,28.4,50.3
Могилевская область,Кличевский,14.2,69,4.8,18.5
Брестская область,Кобринский,179971,225898,26512,46057
Минская область,Копыльский,42,222.3,21.4,88.7
Гродненская область,Кореличский,1559044.5,5309949.1,346620.6,518403.7
Гомельская область,Кормянский,7052,64429,308,4269
Могилевская область,Костюковичский,202.8,554.1,88.2,92.1
Могилевская область,Краснопольский ,5.2,35.8,1.2,2.9
Могилевская область,Кричевский ,120.8,555.7,91.1,71.8
Могилевская область,Круглянский ,34.6,80.7,18.8,10.1
Минская область,Крупский,36.6,192.5,17.7,97.7
Гомельская область,Лельчицкий,27715,96883,5198,32065
Витебская область,Лепельский,129736,217659,7702,27097
Гродненская область,Лидский,19710627.8,25266151.9,5747877.5,6607862.1
Витебская область,Лиозненский,11223,94810,1433,18678
Минская область,Логойский,92.9,155.6,25.2,57.5
Гомельская область,Лоевский,10129,73203,3987,29543
Брестская область,Лунинецкий,110457,176708,55601,51072
Минская область,Любанский,37.8,223.9,16,74.9
Брестская область,Ляховичский,37863,76103,6892,18314
Брестская область,Малоритский,82509,253565,8307,61802
Минская область,Минская область,10225.6,11918.4,2197.8,2894
Минская область,Минский,2573.5,2969.6,628,584
Витебская область,Миорский,36241,174611,20125,72430
Могилевская область,Могилевская область,4401.9,7041.4,1304.1,1654.7
Могилевская область,Могилевский ,172.5,452.2,41.9,121
Гомельская область,Мозырский,779632,1023244,94186,77597
Минская область,Молодечненский,390.3,515.6,90.1,163.5
Гродненская область,Мостовский,2681125.4,8230365.6,365215,1866953.4
Могилевская область,Мстиславский,20.2,159.6,8.2,23.1
Минская область,Мядельский,31.3,118.1,9.1,41.1
Гомельская область,Наровлянский,11073,33027,3541,9819
Минская область,Несвижский,308.2,547.9,32.3,113.3
Гродненская область,Новогрудский,4906459.6,8200871.1,606477.1,1448483.3
Гомельская область,Октябрьский,29012,75486,5126,23573
Витебская область,Оршанский,502365,995003,128953,278817
Могилевская область,Осиповичский,75.1,351.9,13.1,136.4
Гродненская область,Островецкий,12841210.9,15624422.6,225405.7,475427.7
Гродненская область,Ошмянский,4017385.7,6334149.8,898690.4,895650.8
Гомельская область,Петриковский,28946,116964,10057,28729
Брестская область,Пинский,58583,186158,12317,56017
Витебская область,Полоцкий,210069,410089,46965,89541
Витебская область,Поставский,56120,195749,8479,54554
Брестская область,Пружанский,116034,171776,11097,32740
Минская область,Пуховичский,394.3,428.1,148.2,90
Гомельская область,Речицкий,240433,495858,36894,73444
Гомельская область,Рогачевский,175054,278505,16869,77806
Витебская область,Россонский,6040,42247,1343,14022
Гомельская область,Светлогорский,154085,601305,19949,126422
